Rank;English translation;Infinitive;Conjugation group;Conjugation suffix;Colloquial;Perfective aspect;Aspect pairs;Refexive aspect;Movement aspect;я;ты;он/она́/оно́;мы;вы;они́;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
9;be, happen;быть;;;;несовер.;;not reflexive;movement;есть;есть;есть;есть;есть;есть;будь;будьте;будучи;быв;;бывший;;
29;say, tell;сказать;1;А;;совер.;говорить/сказать;not reflexive;not movement;скажу;скажешь;скажет;скажете;скажем;скажут;скажи;скажите;;сказав;;сказавший;;сказанный
32;be able, can;мочь;1;К,Г;;несовер.;мочь/смочь;not reflexive;movement;могу;можешь;может;можете;можем;могут;моги;могите;;могши;могущий;могший;могущий;могший
49;(be able to) speak, talk;говорить;2;И;;несовер.;говорить/сказать;not reflexive;not movement;говорю;говоришь;говорит;говорите;говорим;говорят;говори;говорите;говоря;говорив;говорящий;говоривший;;
51;know, be aware (of);знать;1;АЙ;;несовер.;;not reflexive;not movement;знаю;знаешь;знает;знаете;знаем;знают;знай;знайте;зная;знав;знающий;знавший;;
61;begin, come;стать;1;Н;;совер.;становиться/стать;not reflexive;not movement;стану;станешь;станет;станете;станем;станут;стань;станьте;;став;;ставший;;
71;eat;есть;;;;несовер.;есть/съесть;not reflexive;not movement;ем;ешь;ест;едите;едим;едят;ешь;ешьте;;ев;едящий;евший;;еденный
88;want, like;хотеть;;;;несовер.;хотеть/захотеть;not reflexive;not movement;хочу;хочешь;хочет;хотите;хотим;хотят;;;хотя;хотев;хотящий;хотевший;;
94;see;видеть;2;Е;;несовер.;видеть/увидеть;not reflexive;not movement;вижу;видишь;видит;видите;видим;видят;;;видя;видев;видящий;видевший;видимый;виденный
95;go, come;идти;;;;несовер.;идти/пойти;not reflexive;movement;иду;идёшь;идёт;идёте;идём;идут;иди;идите;идя;шедши;идущий;шедший;идущий;шедший
98;stand;стоять;2;Й-А;;несовер.;;not reflexive;movement;стою;стоишь;стоит;стоите;стоим;стоят;стой;стойте;стоя;стояв;стоящий;стоявший;стоящий;стоявший
106;think (about, of);думать;1;АЙ;;несовер.;думать/подумать;not reflexive;not movement;думаю;думаешь;думает;думаете;думаем;думают;думай;думайте;думая;думав;думающий;думавший;думающий;думавший
108;ask, inquire;спросить;2;И;;совер.;спрашивать/спросить;not reflexive;not movement;спрошу;спросишь;спросит;спросите;спросим;спросят;спроси;спросите;;спросив;;спросивший;;спрошенный
117;live, reside;жить;1;В;;несовер.;;not reflexive;not movement;живу;живёшь;живёт;живёте;живём;живут;живи;живите;живя;жив;живущий;живший;;
119;look, look (at);смотреть;2;Е;;несовер.;смотреть/посмотреть;not reflexive;not movement;смотрю;смотришь;смотрит;смотрите;смотрим;смотрят;смотри;смотрите;смотря;смотрев;смотрящий;смотревший;;смотренный
125;sit, be perched;сидеть;1;Б,Д,Т;;несовер.;;not reflexive;not movement;сижу;сидишь;сидит;сидите;сидим;сидят;сиди;сидите;сидя;сидев;сидящий;сидевший;сидящий;сидевший
126;understand, comprehend;понять;1;НЯТЬ;;совер.;понимать/понять;not reflexive;not movement;пойму;поймёшь;поймёт;поймёте;поймём;поймут;пойми;поймите;;поняв;;понявший;;понятый
127;have, possess;иметь;1;ЕЙ;;несовер.;;not reflexive;not movement;имею;имеешь;имеет;имеете;имеем;имеют;имей;имейте;имея;имев;имеющий;имевший;;
129;make;делать;1;АЙ;;несовер.;делать/сделать;not reflexive;not movement;делаю;делаешь;делает;делаете;делаем;делают;делай;делайте;делая;делав;делающий;делавший;делаемый;деланный
