Ранг;Уровень;По-английски;По-французский;Инфинитив;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Движение;Я;ТЫ;ОН/ОНА/ОНО;МЫ;ВЫ;ОНИ;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
10;A1;be, happen;être, exister;быть;;;;;несовер.;;not reflexive;movement;есть;есть;есть;есть;есть;есть;будь;будьте;будучи;быв;;бывший;;
29;A1;be able, can;être capable, pouvoir;мочь;;;;;несовер.;мочь/смочь;not reflexive;movement;могу;можешь;может;можете;можем;могут;моги;могите;;могши;могущий;могший;могущий;могший
45;A1;say, tell;dire;сказать;;;;;совер.;говорить/сказать;not reflexive;not movement;скажу;скажешь;скажет;скажете;скажем;скажут;скажи;скажите;;сказав;;сказавший;;сказанный
48;A1;be able to speak, talk;parler, causer;говорить;;;;;несовер.;говорить/сказать;not reflexive;not movement;говорю;говоришь;говорит;говорите;говорим;говорят;говори;говорите;говоря;говорив;говорящий;говоривший;;
49;A1;know, be aware (of);connaître, savoir;знать;;;;;несовер.;;not reflexive;not movement;знаю;знаешь;знает;знаете;знаем;знают;знай;знайте;зная;знав;знающий;знавший;;
61;A1;want, like;vouloir, avoir envie (de);хотеть;;;;;несовер.;хотеть/захотеть;not reflexive;not movement;хочу;хочешь;хочет;хотите;хотим;хотят;;;хотя;хотев;хотящий;хотевший;;
70;A1;have, possess;avoir;иметь;;;;;несовер.;;not reflexive;not movement;имею;имеешь;имеет;имеете;имеем;имеют;имей;имейте;имея;имев;имеющий;имевший;;
85;A1;make;faire;сделать;;;;;совер.;делать/сделать;not reflexive;not movement;сделаю;сделаешь;сделает;сделаете;сделаем;сделают;сделай;сделайте;;сделав;;сделавший;;сделанный
86;A1;go, come;aller, venir;идти;;;;;несовер.;идти/пойти;not reflexive;movement;иду;идёшь;идёт;идёте;идём;идут;иди;идите;идя;шедши;идущий;шедший;идущий;шедший
88;A1;make;faire;делать;;;;;несовер.;делать/сделать;not reflexive;not movement;делаю;делаешь;делает;делаете;делаем;делают;делай;делайте;делая;делав;делающий;делавший;делаемый;деланный
91;A1;see;voir;видеть;;;;;несовер.;видеть/увидеть;not reflexive;not movement;вижу;видишь;видит;видите;видим;видят;;;видя;видев;видящий;видевший;видимый;виденный
92;A1;think (about, of);penser (à), songer;думать;;;;;несовер.;думать/подумать;not reflexive;not movement;думаю;думаешь;думает;думаете;думаем;думают;думай;думайте;думая;думав;думающий;думавший;думающий;думавший
98;A1;work, function;travailler;работать;;;;;несовер.;;not reflexive;not movement;работаю;работаешь;работает;работаете;работаем;работают;работай;работайте;работая;работав;работающий;работавший;работающий;работавший
100;A1;live, reside;vivre;жить;;;;;несовер.;;not reflexive;not movement;живу;живёшь;живёт;живёте;живём;живут;живи;живите;живя;жив;живущий;живший;;
106;A1;look, look (at);regarder, envisager;смотреть;;;;;несовер.;смотреть/посмотреть;not reflexive;not movement;смотрю;смотришь;смотрит;смотрите;смотрим;смотрят;смотри;смотрите;смотря;смотрев;смотрящий;смотревший;;смотренный
112;A1;understand, comprehend;comprendre, concevoir;понимать;;;;;несовер.;понимать/понять;not reflexive;not movement;понимаю;понимаешь;понимает;понимаете;понимаем;понимают;понимай;понимайте;понимая;понимав;понимающий;понимавший;понимаемый;
