Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Движение;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
1;10;A1;"be; happen";"être; exister";быть;;;неправ.;;;несовер.;;not reflexive;movement;есть;есть;есть;есть;есть;есть;будь;будьте;будучи;быв;;бывший;;
2;29;A1;"be able; can";"être capable; pouvoir";мочь;;;неправ.;;К,Г;несовер.;мочь/смочь;not reflexive;movement;могу;можешь;может;можете;можем;могут;моги;могите;;могши;могущий;могший;могущий;могший
3;45;A1;"say; tell";dire;сказать;;;;1;А;совер.;говорить/сказать;not reflexive;not movement;скажу;скажешь;скажет;скажете;скажем;скажут;скажи;скажите;;сказав;;сказавший;;сказанный
4;48;A1;"be able to speak; talk";"parler; causer";говорить;;;;2;И;несовер.;говорить/сказать;not reflexive;not movement;говорю;говоришь;говорит;говорите;говорим;говорят;говори;говорите;говоря;говорив;говорящий;говоривший;;
5;49;A1;"know; be aware (of)";"connaître; savoir";знать;;;;1;АЙ;несовер.;;not reflexive;not movement;знаю;знаешь;знает;знаете;знаем;знают;знай;знайте;зная;знав;знающий;знавший;;
6;61;A1;"want; like";"vouloir; avoir envie (de)";хотеть;;;неправ.;;;несовер.;хотеть/захотеть;not reflexive;not movement;хочу;хочешь;хочет;хотите;хотим;хотят;;;хотя;хотев;хотящий;хотевший;;
7;70;A1;"have; possess";avoir;иметь;;;;1;ЕЙ;несовер.;;not reflexive;not movement;имею;имеешь;имеет;имеете;имеем;имеют;имей;имейте;имея;имев;имеющий;имевший;;
8;85;A1;make;faire;сделать;;;;1;АЙ;совер.;делать/сделать;not reflexive;not movement;сделаю;сделаешь;сделает;сделаете;сделаем;сделают;сделай;сделайте;;сделав;;сделавший;;сделанный
9;86;A1;"go; come";"aller; venir";идти;;;неправ.;;;несовер.;идти/пойти;not reflexive;movement;иду;идёшь;идёт;идёте;идём;идут;иди;идите;идя;шедши;идущий;шедший;идущий;шедший
10;88;A1;make;faire;делать;;;;1;АЙ;несовер.;делать/сделать;not reflexive;not movement;делаю;делаешь;делает;делаете;делаем;делают;делай;делайте;делая;делав;делающий;делавший;делаемый;деланный
11;91;A1;see;voir;видеть;;;;2;Е;несовер.;видеть/увидеть;not reflexive;not movement;вижу;видишь;видит;видите;видим;видят;;;видя;видев;видящий;видевший;видимый;виденный
12;92;A1;think (about, of);"penser (à); songer";думать;;;;1;АЙ;несовер.;думать/подумать;not reflexive;not movement;думаю;думаешь;думает;думаете;думаем;думают;думай;думайте;думая;думав;думающий;думавший;думающий;думавший
13;98;A1;"work; function";travailler;работать;;;;1;АЙ;несовер.;;not reflexive;not movement;работаю;работаешь;работает;работаете;работаем;работают;работай;работайте;работая;работав;работающий;работавший;работающий;работавший
14;100;A1;"live; reside";vivre;жить;;;неправ.;;В;несовер.;;not reflexive;not movement;живу;живёшь;живёт;живёте;живём;живут;живи;живите;живя;жив;живущий;живший;;
